StartTime,RequestType,Latency,ResponseCode
2020-10-07 16:08:00.006,POST,-910,200
2020-10-07 16:08:00.916,POST,-454,200
2020-10-07 16:08:01.37,POST,-432,200
2020-10-07 16:08:01.802,POST,-41,200
2020-10-07 16:08:01.843,POST,-299,200
2020-10-07 16:08:02.142,POST,-272,200
2020-10-07 16:08:02.414,POST,-230,200
2020-10-07 16:08:02.645,POST,-20,200
2020-10-07 16:08:02.665,POST,-18,200
2020-10-07 16:08:02.683,POST,-54,200
2020-10-07 16:08:02.737,POST,-71,200
2020-10-07 16:08:02.808,POST,-10,200
2020-10-07 16:08:02.818,POST,-153,200
2020-10-07 16:08:02.971,POST,-40,200
2020-10-07 16:08:03.011,POST,-122,200
2020-10-07 16:08:03.133,POST,-11,200
2020-10-07 16:08:03.144,POST,-174,200
2020-10-07 16:08:03.318,POST,-11,200
2020-10-07 16:08:03.329,POST,-23,200
2020-10-07 16:08:03.352,POST,-20,200
2020-10-07 16:08:03.372,POST,-17,200
2020-10-07 16:08:03.389,POST,-18,200
2020-10-07 16:08:03.41,POST,-44,200
2020-10-07 16:08:03.454,POST,-88,200
2020-10-07 16:08:03.543,POST,-77,200
2020-10-07 16:08:03.62,POST,-93,200
2020-10-07 16:08:03.713,POST,-54,200
2020-10-07 16:08:03.767,POST,-122,200
2020-10-07 16:08:03.889,POST,-31,200
2020-10-07 16:08:03.92,POST,-101,200
2020-10-07 16:08:04.021,POST,-47,200
2020-10-07 16:08:04.069,POST,-85,200
2020-10-07 16:08:04.154,POST,-48,200
2020-10-07 16:08:04.202,POST,-40,200
2020-10-07 16:08:04.242,POST,-43,200
2020-10-07 16:08:04.285,POST,-87,200
2020-10-07 16:08:04.372,POST,-20,200
2020-10-07 16:08:04.392,POST,-255,200
2020-10-07 16:08:04.647,POST,-16,200
2020-10-07 16:08:04.663,POST,-133,200
2020-10-07 16:08:04.796,POST,-577,200
2020-10-07 16:08:05.373,POST,-11,200
2020-10-07 16:08:05.384,POST,-5,200
2020-10-07 16:08:05.39,POST,-76,200
2020-10-07 16:08:05.466,POST,-10,200
2020-10-07 16:08:05.476,POST,-97,200
2020-10-07 16:08:05.573,POST,-11,200
2020-10-07 16:08:05.584,POST,-94,200
2020-10-07 16:08:05.678,POST,-12,200
2020-10-07 16:08:05.69,POST,-138,200
2020-10-07 16:08:05.828,POST,-159,200
2020-10-07 16:08:05.987,POST,-140,200
2020-10-07 16:08:06.127,POST,-152,200
2020-10-07 16:08:06.279,POST,-227,200
2020-10-07 16:08:06.506,POST,-82,200
2020-10-07 16:08:06.588,POST,-711,200
2020-10-07 16:08:07.3,POST,-273,200
2020-10-07 16:08:07.573,POST,-265,200
2020-10-07 16:08:07.838,POST,-78,200
2020-10-07 16:08:07.916,POST,-332,200
2020-10-07 16:08:08.248,POST,-52,200
2020-10-07 16:08:08.3,POST,-96,200
2020-10-07 16:08:08.396,POST,-29,200
2020-10-07 16:08:08.425,POST,-84,200
2020-10-07 16:08:08.509,POST,-64,200
2020-10-07 16:08:08.573,POST,-129,200
2020-10-07 16:08:08.702,POST,-82,200
2020-10-07 16:08:08.784,POST,-122,200
2020-10-07 16:08:08.906,POST,-183,200
2020-10-07 16:08:09.089,POST,-92,200
2020-10-07 16:08:09.181,POST,-148,200
2020-10-07 16:08:09.33,POST,-38,200
2020-10-07 16:08:09.368,POST,-79,200
2020-10-07 16:08:09.447,POST,-55,200
2020-10-07 16:08:09.502,POST,-48,200
2020-10-07 16:08:09.55,POST,-63,200
2020-10-07 16:08:09.613,POST,-44,200
2020-10-07 16:08:09.657,POST,-41,200
2020-10-07 16:08:09.698,POST,-51,200
2020-10-07 16:08:09.749,POST,-33,200
2020-10-07 16:08:09.782,POST,-28,200
2020-10-07 16:08:09.81,POST,-21,200
2020-10-07 16:08:09.831,POST,-92,200
2020-10-07 16:08:09.923,POST,-25,200
2020-10-07 16:08:09.948,POST,-21,200
2020-10-07 16:08:09.969,POST,-16,200
2020-10-07 16:08:09.985,POST,-10,200
2020-10-07 16:08:09.995,POST,-12,200
2020-10-07 16:08:10.007,POST,-8,200
2020-10-07 16:08:10.015,POST,-14,200
2020-10-07 16:08:10.029,POST,-31,200
2020-10-07 16:08:10.06,POST,-5,200
2020-10-07 16:08:10.065,POST,-13,200
2020-10-07 16:08:10.078,POST,-3,200
2020-10-07 16:08:10.081,POST,-4,200
2020-10-07 16:08:10.085,POST,-14,200
2020-10-07 16:08:10.099,POST,-3,200
2020-10-07 16:08:10.102,POST,-4,200
2020-10-07 16:08:10.106,POST,-33,200
2020-10-07 16:08:10.139,POST,-2,200
2020-10-07 16:08:10.141,GET,-1,200
2020-10-07 16:08:10.142,GET,-1,200
2020-10-07 16:08:10.143,GET,-1,200
2020-10-07 16:08:10.144,GET,-1,200
2020-10-07 16:08:10.145,GET,-2,200
